,genres,item_name,release_date,price,item_id,developer
0,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,2018,4.99,761140,Kotoshiro
1,"['Indie', 'RPG', 'Strategy']",Ironbound,2018,0.0,643980,Secret Level SRL
2,"['Casual', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,2017,0.0,670290,Poolians.com
3,"['Action', 'Adventure', 'Casual']",弹炸人2222,2017,0.99,767400,彼岸领域
4,"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,2018,3.99,772540,Trickjump Games Ltd
5,"['Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,2018,0.0,774276,Poppermost Productions
6,"['Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,2018,0.0,774277,Poppermost Productions
7,"['Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,2018,0.0,774278,Poppermost Productions
8,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018,10.99,770380,Stegalosaurus Game Development
9,"['Casual', 'Indie']",Beach Rules,2018,3.99,768880,Copperpick Studio
10,"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2018,2.99,765320,Ghulam Jewel
11,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,2018,1.59,773650,Apillo
12,"['Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,2018,0.0,774271,Poppermost Productions
13,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,2018,1.99,773690,Apillo
14,"['Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,2018,0.0,774279,Poppermost Productions
15,"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,2018,0.99,768060,Tero Lunkka
16,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2017,2.99,775880,FrozenPepper
17,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2017,2.99,775881,FrozenPepper
18,"['Action', 'Indie']",DinoBlaster,2018,4.99,653960,Casey Labrack
19,"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,1997,9.99,282010,Stainless Games Ltd
20,['Action'],Half-Life,1998,9.99,70,Valve
21,"['Action', 'Indie', 'RPG']",Fallen Mage,2016,1.99,752360,dev4play
22,"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,2018,0.99,766850,ETGgames
23,"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,2018,8.99,754360,The Commander
24,"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,2018,0.99,716110,"lalalaZero,Urbanoff"
25,['Strategy'],Disciples II: Gallean's Return,2006,6.99,1640,Strategy First
26,['Strategy'],Disciples II: Rise of the Elves,2006,6.99,1630,Strategy First
27,"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2006,9.99,2400,Outerlight Ltd.
28,"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,2017,7.99,759920,Ultraint
29,"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,2017,10.99,603280,TPM.CO SOFT WORKS
30,"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,2017,9.99,753110,Wonderbox Games
31,"['Action', 'Indie']",Orbitality,2017,9.99,753100,Wonderbox Games
32,"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,2017,1.99,764280,Mad Unicorn Games
33,"['Adventure', 'Casual', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,2017,0.0,758550,Emanon Studios
34,['Action'],Advent Rising,2005,9.99,3800,GlyphX Games
35,"['Indie', 'Strategy']",DEFCON,2006,9.99,1520,Introversion Software
36,"['Action', 'Indie', 'RPG']",The Ship: Single Player,2006,9.99,2420,Outerlight Ltd.
37,"['Indie', 'Simulation']",Garry's Mod,2006,9.99,4000,Facepunch Studios
38,['Racing'],RACE - The WTCC Game,2006,39.99,4230,SimBin
39,"['Casual', 'Indie']",Zen of Sudoku,2006,0.0,4900,Unknown Worlds Entertainment
40,"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2006,4.99,2520,"CINEMAX, s.r.o."
41,['Strategy'],Ghost Master®,2003,4.99,6200,Sick Puppies
42,['Strategy'],Vegas: Make It Big™,2006,4.99,6210,Deepred
43,"['Adventure', 'RPG']",Dreamfall: The Longest Journey,2006,19.99,6300,Funcom
44,['Racing'],FlatOut 2™,2006,9.99,2990,Bugbear Entertainment
45,['Racing'],FlatOut,2005,7.49,6220,Bugbear Entertainment
46,"['Action', 'Adventure']",Lost Planet™: Extreme Condition,2007,14.99,6510,"CAPCOM Co., Ltd."
47,['Strategy'],CivCity: Rome,2006,9.99,3980,"FireFly Studios,Firaxis Games"
48,['RPG'],Arx Fatalis,2002,4.99,1700,Arkane Studios
49,"['Action', 'Adventure', 'RPG']",The Longest Journey,2000,9.99,6310,Funcom
50,['Strategy'],Civilization IV®: Warlords,2006,4.99,3990,Firaxis Games
51,['Strategy'],Railroad Tycoon 3,2003,9.99,7610,PopTop
52,['Strategy'],Sid Meier's Railroads!,2006,9.99,7600,"Firaxis Games,Feral Interactive (Mac)"
53,['Strategy'],Railroad Tycoon II Platinum,1998,4.99,7620,PopTop
54,"['Casual', 'Indie']",RIP - Trilogy™,2007,4.99,2540,Elephant Games
55,['Strategy'],X-COM: Terror From the Deep,1995,4.99,7650,"MicroProse Software, Inc"
56,"['Action', 'Adventure']",Tomb Raider: Anniversary,2007,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)"
57,['Action'],Devil May Cry® 3 Special Edition,2006,19.99,6550,"CAPCOM Co., Ltd."
58,"['Action', 'Adventure']",Sam & Max 101: Culture Shock,2006,19.99,8200,Telltale Games
59,['Action'],Final DOOM,1996,4.99,2290,id Software
60,"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,2006,19.99,8210,Telltale Games
61,['Action'],Ultimate Doom,1995,4.99,2280,id Software
62,['Action'],Master Levels for Doom II,1995,14.99,9160,id Software
63,['Action'],DOOM II,1994,4.99,2300,id Software
64,['Action'],Wolfenstein 3D,1994,4.99,2270,id Software
65,['Action'],Return to Castle Wolfenstein,2001,4.99,9010,Gray Matter Studios
66,['Action'],QUAKE Mission Pack 1: Scourge of Armagon,1997,2.99,9040,Ritual Entertainment
67,['Action'],Spear of Destiny,1993,2.99,9000,id Software
68,['Action'],BloodRayne,2003,9.99,3810,Terminal Reality
69,['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2007,2.99,9030,Rogue Entertainment
70,['Action'],QUAKE,2007,4.99,2310,id Software
71,['Strategy'],Genesis Rising,2007,4.99,3230,Metamorf
72,['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",2006,12.99,9310,Relic Entertainment
73,"['Action', 'RPG']",BioShock™,2007,19.99,7670,"2K Boston,2K Australia"
74,['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006,12.99,4570,Relic Entertainment
75,['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006,12.99,4580,Relic Entertainment
76,['Strategy'],Rome: Total War™ - Collection,2004,9.99,4760,The Creative Assembly
77,['Strategy'],Rome: Total War™ - Alexander,2006,4.99,4770,The Creative Assembly
78,['Casual'],Mystery Case Files: Madame Fate®,2007,6.99,50970,Big Fish Games
79,['Action'],Manhunt,2004,9.99,12130,Rockstar North
80,['Racing'],Midnight Club 2,2003,9.99,12160,Rockstar San Diego
81,['Action'],Max Payne 2: The Fall of Max Payne,2003,9.99,12150,Remedy Entertainment
82,"['Action', 'Adventure']",Tomb Raider: Legend,2006,6.99,7000,Crystal Dynamics
83,['Action'],Max Payne,2001,9.99,12140,Remedy Entertainment
84,['Strategy'],Command & Conquer: Red Alert 3,2008,19.99,17480,EA Los Angeles
85,['Casual'],PuzzleQuest: Challenge of the Warlords,2007,9.99,12500,Infinite Interactive
86,"['RPG', 'Casual', 'Adventure']",Culpa Innata,2007,9.99,12310,Momentum Digital Media Technologies
87,['Strategy'],Prison Tycoon 3™: Lockdown,2007,9.99,12510,"Gamebryo,Virtual Playground"
88,"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,2007,9.99,12530,SCS Software
89,['Racing'],18 Wheels of Steel: American Long Haul,2007,9.99,12520,SCS Software
90,['Action'],Conflict: Denied Ops,2008,5.99,8100,Pivotal Games
91,['Action'],ARMA: Combat Operations,2007,7.99,2780,Bohemia Interactive
92,['Action'],Desperados 2: Cooper's Revenge,2006,9.99,9710,Spellbound
93,"['Action', 'Adventure']",Death to Spies,2007,4.99,9800,Haggard Games
94,['Action'],Act of War: High Treason,2006,2.99,9760,Eugen Systems
95,"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2006,19.99,2700,"Frontier,Aspyr (Mac)"
96,['Action'],Act of War: Direct Action,2005,2.99,2710,Eugen Systems
97,['Action'],Unreal 2: The Awakening,2003,14.99,13200,"Epic Games, Inc."
98,['Action'],Unreal Gold,1998,9.99,13250,"Epic Games, Inc."
99,"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,2008,4.99,13000,Sanzaru Games
100,['Action'],Tom Clancy's Splinter Cell®,2003,9.99,13560,Ubisoft
101,['Action'],Far Cry®,2004,9.99,13520,Crytek Studios
102,['Action'],Unreal Tournament: Game of the Year Edition,2000,9.99,13240,"Epic Games, Inc."
103,['Action'],Tom Clancy's Rainbow Six® Vegas,2006,9.99,13540,Ubisoft Montreal
104,['Simulation'],Silent Hunter® III,2005,9.99,15210,Ubisoft
105,"['Casual', 'Simulation']",Virtual Villagers - The Secret City,2008,9.99,16180,Last Day of Work
106,['Casual'],Mystery P.I.™ - The Vegas Heist,2008,4.99,3520,SpinTop Games
107,['Casual'],Luxor,2008,9.99,15970,MumboJumbo
108,['Casual'],Reaxxion,2008,9.99,15950,MumboJumbo
109,['Casual'],Little Farm,2008,9.99,15960,MumboJumbo
110,['Casual'],7 Wonders II,2008,9.99,15900,MumboJumbo
111,['Casual'],Luxor Amun Rising,2005,9.99,15910,MumboJumbo
112,['Casual'],Luxor 3,2007,9.99,15930,MumboJumbo
113,['Simulation'],Petz® Horsez® 2,2007,9.99,15160,Ubisoft
114,['Casual'],Luxor 2,2005,9.99,15920,MumboJumbo
115,"['Action', 'Adventure']",Rayman Raving Rabbids™,2007,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
116,['Simulation'],Silent Hunter®: Wolves of the Pacific,2007,9.99,15200,Ubisoft Romania
117,['Simulation'],IL-2 Sturmovik: 1946,2006,9.99,15320,1C: Maddox Games
118,['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008,9.99,15240,Ubisoft Romania
119,['Adventure'],Bone: Out From Boneville,2005,9.99,8310,Telltale Games
120,['Racing'],Midnight Outlaw: 6 Hours to SunUp,2005,9.99,12600,"Merscom,Babylon"
121,['Adventure'],Bone: The Great Cow Race,2006,9.99,8320,Telltale Games
122,['Racing'],Sprint Cars Road to Knoxville,2008,9.99,12590,BigAnt Studios
123,['Simulation'],Ride! Carnival Tycoon,2007,9.99,12560,Gabriel Entertainment
124,['Casual'],Mahjongg Investigations: Under Suspicion,2007,9.99,12540,Zemnott
125,['Adventure'],Dracula Origin,2008,9.99,11050,Frogwares
126,"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,2008,9.99,11040,Frogwares
127,"['Adventure', 'Indie']",Eternity's Child,2008,4.99,19500,"Luc Bernard,SilverSphereStudios"
128,"['Simulation', 'Strategy']",Pacific Storm Allies,2007,7.99,11260,Lesta Studio
129,"['Action', 'Indie']",Tank Universal,2008,4.99,19200,Dialogue Design
130,['Racing'],FlatOut: Ultimate Carnage,2008,19.99,12360,Bugbear Entertainment
131,['Adventure'],Oddworld: Abe's Exoddus®,1998,2.99,15710,Oddworld Inhabitants
132,['Adventure'],Oddworld: Abe's Oddysee®,1997,2.99,15700,Oddworld Inhabitants
133,['Racing'],GTR Evolution Expansion Pack for RACE 07,2008,7.99,8660,SimBin
134,['Strategy'],X-COM: Enforcer,2001,4.99,7770,"MicroProse Software, Inc"
135,['Strategy'],X-COM: Apocalypse,1997,4.99,7660,"MicroProse Software, Inc"
136,['Strategy'],X-COM: UFO Defense,1993,4.99,7760,"MicroProse Software, Inc"
137,"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,2008,9.99,20510,GSC Game World
138,['Action'],Crysis Warhead®,2008,19.99,17330,Crytek
139,['Action'],Crysis,2007,19.99,17300,Crytek
140,['Strategy'],X-COM: Interceptor,1998,4.99,7730,"MicroProse Software, Inc"
141,"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,2008,9.99,20900,CD PROJEKT RED
142,['Indie'],Multiwinia,2008,9.99,1530,Introversion Software
143,['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2008,2.99,8690,SimBin
144,"['Strategy', 'Simulation']",Children of the Nile: Alexandria,2008,2.49,17120,"Tilted Mill Entertainment, Inc."
145,['Strategy'],Sid Meier's Civilization IV: Colonization,2008,19.99,16810,Firaxis Games
146,['Action'],Tom Clancy's Rainbow Six® 3 Gold,2003,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal"
147,"['Action', 'Adventure']",LEGO Batman,2008,19.99,21000,Traveller's Tales
148,"['Simulation', 'Strategy']",City Life 2008,2008,9.99,4460,Monte Cristo
149,"['RPG', 'Strategy']",Hinterland,2008,9.99,17140,"Tilted Mill Entertainment, Inc."
150,['Action'],Brothers in Arms: Hell's Highway™,2008,9.99,15390,Gearbox Software
151,"['Indie', 'Casual']",Gravitron 2,2008,4.99,21300,Dark Castle Software
152,['Racing'],Xpand Rally Xtreme,2006,4.99,3050,Techland
153,['Strategy'],Heroes of Might & Magic V: Hammers of Fate,2006,9.99,15380,Nival
154,['Action'],Brothers in Arms: Earned in Blood™,2005,9.99,19800,Gearbox Software
155,['Strategy'],Heroes of Might & Magic V: Tribes of the East,2007,9.99,15370,Nival
156,['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,2008,19.99,19930,Blue Byte
157,['Casual'],Brain Spa,2007,9.99,15350,Ubisoft
158,['Action'],The Sum of All Fears,2002,9.99,19810,Red Storm Entertainment
159,['Casual'],Peggle™ Nights,2008,4.99,3540,"PopCap Games, Inc."
160,['Indie'],World of Goo,2008,9.99,22000,2D BOY
161,"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,2008,15.99,2820,Egosoft
162,['Action'],Mare Nostrum,2008,0.0,1230,Sandstorm Productions
163,"['Casual', 'Indie']",Spectraball,2008,4.99,18300,Shorebound Studios
164,"['Indie', 'Casual', 'Sports']",Galactic Bowling,2008,19.99,20200,Perpetual FX Creative
165,"['Action', 'Adventure']",Bully: Scholarship Edition,2008,14.99,12200,Rockstar New England
166,['Action'],Far Cry® 2: Fortune's Edition,2008,9.99,19900,Ubisoft Montreal
